"Player Name","Pos","Consensus","Andy","Jason","Mike"
"LeVeon Bell PIT (7)","RB","1","4","1","1"
"Todd Gurley LAR (12)","RB","1","1","2","3"
"David Johnson ARI (9)","RB","3","3","4","4"
"Antonio Brown PIT (7)","WR","4","5","5","2"
"Alvin Kamara NO (6)","RB","5","2","6","6"
"Ezekiel Elliott DAL (8)","RB","6","9","3","5"
"Melvin Gordon LAC (8)","RB","7","8","7","8"
"DeAndre Hopkins HOU (10)","WR","8","6","12","7"
"Saquon Barkley NYG (9)","RB","9","10","9","9"
"Leonard Fournette JAC (9)","RB","10","11","8","11"
"Odell Beckham Jr NYG (9)","WR","11","7","11","13"
"Julio Jones ATL (8)","WR","12","12","10","14"
"Kareem Hunt KC (12)","RB","13","15","14","10"
"Christian McCaffrey CAR (4)","RB","14","13","13","17"
"Dalvin Cook MIN (10)","RB","15","17","15","12"
"Jerick McKinnon SF (11)","RB","16","14","18","16"
"Keenan Allen LAC (8)","WR","17","16","17","20"
"Michael Thomas NO (6)","WR","18","21","19","15"
"Devonta Freeman ATL (8)","RB","19","23","16","18"
"LeSean McCoy BUF (11)","RB","20","18","23","21"
"Davante Adams GB (7)","WR","21","20","25","19"
"A.J. Green CIN (9)","WR","22","24","21","23"
"Joe Mixon CIN (9)","RB","23","22","20","31"
"Adam Thielen MIN (10)","WR","23","25","24","24"
"Jordan Howard CHI (5)","RB","25","28","22","26"
"Rob Gronkowski NE (11)","TE","25","19","28","29"
"Larry Fitzgerald ARI (9)","WR","27","26","29","22"
"T.Y. Hilton IND (9)","WR","28","27","34","28"
"Mike Evans TB (5)","WR","29","33","32","30"
"Alex Collins BAL (10)","RB","30","31","27","38"
"Doug Baldwin SEA (7)","WR","31","42","26","32"
"Amari Cooper OAK (7)","WR","32","45","31","25"
"Marvin Jones DET (6)","WR","33","32","35","36"
"Demaryius Thomas DEN (10)","WR","34","29","43","34"
"Allen Robinson CHI (5)","WR","35","30","52","33"
"Stefon Diggs MIN (10)","WR","36","51","40","27"
"Golden Tate DET (6)","WR","37","34","46","40"
"JuJu Smith-Schuster PIT (7)","WR","38","35","36","53"
"Dion Lewis TEN (8)","RB","39","39","38","56"
"Royce Freeman DEN (10)","RB","39","58","30","45"
"Rashaad Penny SEA (7)","RB","41","63","33","39"
"Jay Ajayi PHI (9)","RB","42","55","44","37"
"Alshon Jeffery PHI (9)","WR","43","49","60","35"
"Tyreek Hill KC (12)","WR","44","53","51","41"
"Aaron Rodgers GB (7)","QB","45","56","39","51"
"Marshawn Lynch OAK (7)","RB","46","69","47","43"
"Rex Burkhead NE (11)","RB","46","67","48","44"
"Zach Ertz PHI (9)","TE","48","48","59","54"
"Sammy Watkins KC (12)","WR","49","60","54","49"
"Brandin Cooks LAR (12)","WR","49","36","85","42"
"Josh Gordon CLE (11)","WR","49","46","71","46"
"Kenyan Drake MIA (11)","RB","52","80","37","48"
"Derrick Henry TEN (8)","RB","53","61","62","47"
"Robby Anderson NYJ (11)","WR","54","37","66","71"
"Pierre Garcon SF (11)","WR","55","47","76","52"
"Travis Kelce KC (12)","TE","55","43","75","57"
"Tevin Coleman ATL (8)","RB","57","41","49","90"
"Sony Michel NE (11)","RB","58","44","42","97"
"Isaiah Crowell NYJ (11)","RB","59","64","61","62"
"Corey Davis TEN (8)","WR","60","40","80","68"
"Cooper Kupp LAR (12)","WR","61","59","65","65"
"Emmanuel Sanders DEN (10)","WR","62","77","55","58"
"Jarvis Landry CLE (11)","WR","63","52","82","63"
"Chris Hogan NE (11)","WR","64","90","58","50"
"Russell Wilson SEA (7)","QB","65","70","56","73"
"Allen Hurns DAL (8)","WR","66","75","64","66"
"Lamar Miller HOU (10)","RB","67","102","45","59"
"Michael Crabtree BAL (10)","WR","68","92","63","55"
"Mark Ingram NO (6)","RB","69","38","70","104"
"Ronald Jones II TB (5)","RB","70","68","86","61"
"Randall Cobb GB (7)","WR","70","50","73","92"
"Cam Newton CAR (4)","QB","72","74","72","77"
"Greg Olsen CAR (4)","TE","72","57","90","76"
"Kelvin Benjamin BUF (11)","WR","74","62","69","102"
"Devin Funchess CAR (4)","WR","75","65","102","67"
"Robert Woods LAR (12)","WR","76","91","67","79"
"Sterling Shepard NYG (9)","WR","77","66","68","108"
"Tarik Cohen CHI (5)","RB","78","78","79","91"
"Devante Parker MIA (11)","WR","79","86","89","75"
"Nelson Agholor PHI (9)","WR","80","71","93","95"
"Ben Roethlisberger PIT (7)","QB","81","106","77","82"
"Drew Brees NO (6)","QB","82","101","98","69"
"Deshaun Watson HOU (10)","QB","83","103","74","94"
"Tom Brady NE (11)","QB","84","96","95","81"
"Matthew Stafford DET (6)","QB","85","84","94","96"
"Carson Wentz PHI (9)","QB","86","87","100","89"
"Kenny Stills MIA (11)","WR","86","98","91","87"
"Will Fuller HOU (10)","WR","88","108","109","60"
"Andrew Luck IND (9)","QB","89","85","115","78"
"Evan Engram NYG (9)","TE","90","99","110","70"
"Kirk Cousins MIN (10)","QB","91","100","97","83"
"Jamison Crowder WAS (4)","WR","92","73","92","117"
"Marquise Goodwin SF (11)","WR","92","110","88","84"
"Rishard Matthews TEN (8)","WR","94","81","87","119"
"Rob Kelley WAS (4)","RB","95","122","104","64"
"Kerryon Johnson DET (6)","RB","96","132","41","124"
"Philip Rivers LAC (8)","QB","97","97","106","99"
"DeSean Jackson TB (5)","WR","98","82","133","98"
"Marqise Lee JAC (9)","WR","99","83","158","74"
"Duke Johnson CLE (11)","RB","100","76","126","115"
"Marlon Mack IND (9)","RB","101","151","50","118"
"D.J. Moore CAR (4)","WR","102","121","78","122"
"Jimmy Graham GB (7)","TE","103","54","140","129"
"Trey Burton CHI (5)","TE","103","119","119","85"
"Ty Montgomery GB (7)","RB","105","107","57","160"
"Kenny Golladay DET (6)","WR","106","89","113","126"
"Matt Ryan ATL (8)","QB","107","112","124","106"
"Jamaal Williams GB (7)","RB","108","148","53","143"
"Marcus Mariota TEN (8)","QB","109","126","111","112"
"Jared Goff LAR (12)","QB","110","113","132","105"
"Delanie Walker TEN (8)","TE","111","111","152","93"
"Patrick Mahomes KC (12)","QB","112","123","130","107"
"Carlos Hyde CLE (11)","RB","113","160","81","120"
"Julian Edelman NE (11)","WR","114","128","148","86"
"Giovani Bernard CIN (9)","RB","115","168","107","88"
"Alex Smith WAS (4)","QB","116","130","121","113"
"Devontae Booker DEN (10)","RB","117","79","105","182"
"Bilal Powell NYJ (11)","RB","118","115","120","132"
"Jimmy Garoppolo SF (11)","QB","119","133","127","111"
"CJ Anderson CAR (4)","RB","119","124","144","103"
"Tyrell Williams LAC (8)","WR","119","174","83","114"
"Kyle Rudolph MIN (10)","TE","122","156","99","121"
"Corey Clement PHI (9)","RB","123","95","182","101"
"Chris Thompson WAS (4)","RB","124","118","84","179"
"Jordy Nelson OAK (7)","WR","124","117","141","123"
"Dak Prescott DAL (8)","QB","126","129","137","116"
"Latavius Murray MIN (10)","RB","127","88","114","183"
"Jordan Reed WAS (4)","TE","127","140","165","80"
"Andy Dalton CIN (9)","QB","129","144","123","133"
"Case Keenum DEN (10)","QB","130","137","139","125"
"Paul Richardson WAS (4)","WR","130","120","112","169"
"Tyler Lockett SEA (7)","WR","132","154","116","135"
"Eli Manning NYG (9)","QB","133","143","138","130"
"LeGarrette Blount DET (6)","RB","133","131","136","144"
"Josh Doctson WAS (4)","WR","135","125","134","153"
"Quincy Enunwa NYJ (11)","WR","135","200","103","109"
"Blake Bortles JAC (9)","QB","137","152","129","134"
"Donte Moncrief JAC (9)","WR","138","72","170","174"
"Ryan Tannehill MIA (11)","QB","139","145","131","141"
"Frank Gore MIA (11)","RB","139","161","117","139"
"Calvin Ridley ATL (8)","WR","141","93","160","170"
"Ted Ginn Jr NO (6)","WR","142","155","199","72"
"Mohamed Sanu ATL (8)","WR","143","175","154","100"
"Derek Carr OAK (7)","QB","144","127","146","158"
"Dede Westbrook JAC (9)","WR","145","185","101","146"
"Matt Breida SF (11)","RB","146","149","122","162"
"John Brown BAL (10)","WR","147","166","96","172"
"Cole Beasley DAL (8)","WR","148","104","200","137"
"John Ross CIN (9)","WR","149","200","108","136"
"James White NE (11)","RB","150","179","118","150"
"Ryan Grant IND (9)","WR","151","158","128","171"
"Mitch Trubisky CHI (5)","QB","152","173","147","138"
"Theo Riddick DET (6)","RB","153","136","149","178"
"Terrance Williams DAL (8)","WR","154","94","166","205"
"Kenneth Dixon BAL (10)","RB","155","146","200","127"
"Albert Wilson MIA (11)","WR","155","165","143","165"
"Nick Chubb CLE (11)","RB","157","138","173","163"
"Jermaine Kearse NYJ (11)","WR","158","159","150","167"
"Terrelle Pryor NYJ (11)","WR","159","109","176","193"
"George Kittle SF (11)","TE","160","197","175","110"
"Jameis Winston TB (5)","QB","161","176","156","151"
"Sam Bradford ARI (9)","QB","162","142","200","142"
"Geronimo Allison GB (7)","WR","163","164","167","155"
"TJ Yeldon JAC (9)","RB","164","196","125","166"
"Doug Martin OAK (7)","RB","165","190","157","147"
"O.J. Howard TB (5)","TE","166","167","198","131"
"Jared Cook OAK (7)","TE","167","199","153","145"
"Martavis Bryant OAK (7)","WR","168","134","200","164"
"Chester Rogers IND (9)","WR","169","105","200","196"
"Dante Pettis SF (11)","WR","170","157","145","201"
"Spencer Ware KC (12)","RB","171","114","200","194"
"Chris Godwin TB (5)","WR","172","169","179","161"
"David Njoku CLE (11)","TE","173","191","163","157"
"Tyler Eifert CIN (9)","TE","174","180","194","140"
"Joe Flacco BAL (10)","QB","175","184","177","154"
"Mike Williams LAC (8)","WR","175","163","164","188"
"Brice Butler ARI (9)","WR","177","116","200","200"
"Eric Ebron IND (9)","TE","178","135","187","195"
"Corey Coleman BUF (11)","WR","179","200","135","184"
"Mike Wallace PHI (9)","WR","179","150","178","191"
"Cameron Meredith NO (6)","WR","181","147","162","211"
"Nyheim Hines IND (9)","RB","182","141","193","187"
"Danny Amendola MIA (11)","WR","183","139","185","200"
"Anthony Miller CHI (5)","WR","184","198","200","128"
"Benjamin Watson NO (6)","TE","185","189","183","156"
"Charles Clay BUF (11)","TE","186","171","190","168"
"Jack Doyle IND (9)","TE","187","183","200","149"
"Darren Sproles PHI (9)","RB","188","153","200","185"
"Aaron Jones GB (7)","RB","188","186","200","152"
"Taywan Taylor TEN (8)","WR","190","200","142","200"
"Austin Hooper ATL (8)","TE","191","195","169","181"
"Josh Allen BUF (11)","QB","192","170","200","176"
"Peyton Barber TB (5)","RB","193","192","155","200"
"Jordan Wilkins IND (9)","RB","194","200","200","148"
"D'onta Foreman HOU (10)","RB","195","162","171","217"
"Keelan Cole JAC (9)","WR","196","200","151","200"
"Luke Willson DET (6)","TE","196","200","192","159"
"Brandon Marshall SEA (7)","WR","198","194","188","177"
"Austin Seferian-Jenkins JAC (9)","TE","198","200","159","200"
"John Kelly LAR (12)","RB","200","200","161","200"
