"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Todd Gurley LAR (12)","RB","1","1","1","2"
"David Johnson ARI (9)","RB","2","3","3","1"
"LeVeon Bell PIT (7)","RB","3","5","2","3"
"Antonio Brown PIT (7)","WR","3","2","4","4"
"Alvin Kamara NO (6)","RB","5","4","5","7"
"Christian McCaffrey CAR (4)","RB","6","8","10","6"
"DeAndre Hopkins HOU (10)","WR","7","6","15","5"
"Melvin Gordon LAC (8)","RB","8","11","7","9"
"Odell Beckham Jr NYG (9)","WR","9","7","13","8"
"Saquon Barkley NYG (9)","RB","10","9","6","14"
"Ezekiel Elliott DAL (8)","RB","11","13","8","12"
"Julio Jones ATL (8)","WR","12","12","11","16"
"Leonard Fournette JAC (9)","RB","13","16","9","15"
"Michael Thomas NO (6)","WR","14","14","14","13"
"Kareem Hunt KC (12)","RB","15","19","12","11"
"Keenan Allen LAC (8)","WR","16","10","16","18"
"Dalvin Cook MIN (10)","RB","17","25","17","10"
"Davante Adams GB (7)","WR","18","15","24","19"
"Devonta Freeman ATL (8)","RB","19","21","18","20"
"LeSean McCoy BUF (11)","RB","20","18","21","21"
"A.J. Green CIN (9)","WR","21","20","19","22"
"Larry Fitzgerald ARI (9)","WR","22","22","23","17"
"Amari Cooper OAK (7)","WR","23","24","27","23"
"Rob Gronkowski NE (11)","TE","24","17","29","29"
"Adam Thielen MIN (10)","WR","25","26","22","28"
"Doug Baldwin SEA (7)","WR","26","27","28","24"
"Joe Mixon CIN (9)","RB","27","31","20","33"
"Mike Evans TB (5)","WR","28","34","30","26"
"Stefon Diggs MIN (10)","WR","28","29","36","25"
"T.Y. Hilton IND (9)","WR","30","33","31","27"
"Jarvis Landry CLE (11)","WR","31","23","40","30"
"Jordan Howard CHI (5)","RB","32","36","25","37"
"Golden Tate DET (6)","WR","33","30","34","35"
"Tyreek Hill KC (12)","WR","34","32","42","32"
"Marvin Jones DET (6)","WR","35","43","35","38"
"JuJu Smith-Schuster PIT (7)","WR","36","35","48","39"
"Allen Robinson CHI (5)","WR","37","40","47","36"
"Travis Kelce KC (12)","TE","38","28","43","53"
"Kenyan Drake MIA (11)","RB","39","59","26","42"
"Alex Collins BAL (10)","RB","40","47","32","49"
"Zach Ertz PHI (9)","TE","41","42","39","48"
"Demaryius Thomas DEN (10)","WR","42","61","44","31"
"Dion Lewis TEN (8)","RB","43","49","38","55"
"Royce Freeman DEN (10)","RB","44","66","33","44"
"Chris Hogan NE (11)","WR","45","58","57","34"
"Brandin Cooks LAR (12)","WR","46","38","78","40"
"Corey Davis TEN (8)","WR","47","39","76","47"
"Rex Burkhead NE (11)","RB","48","68","46","51"
"Randall Cobb GB (7)","WR","49","41","61","65"
"Josh Gordon CLE (11)","WR","50","48","77","43"
"Lamar Miller HOU (10)","RB","51","80","41","50"
"Emmanuel Sanders DEN (10)","WR","51","64","55","52"
"Cooper Kupp LAR (12)","WR","53","54","59","59"
"Marquise Goodwin SF (11)","WR","53","44","82","46"
"Jay Ajayi PHI (9)","RB","55","63","50","60"
"Aaron Rodgers GB (7)","QB","56","84","51","41"
"Michael Crabtree BAL (10)","WR","57","82","52","45"
"Sammy Watkins KC (12)","WR","58","52","67","61"
"Robby Anderson NYJ (11)","WR","59","46","69","68"
"Marshawn Lynch OAK (7)","RB","60","72","56","56"
"Matt Breida SF (11)","RB","61","37","45","103"
"Nelson Agholor PHI (9)","WR","62","51","88","57"
"Pierre Garcon SF (11)","WR","63","73","66","58"
"Tarik Cohen CHI (5)","RB","64","65","70","75"
"Tevin Coleman ATL (8)","RB","65","53","54","104"
"Sterling Shepard NYG (9)","WR","66","55","62","97"
"Mark Ingram NO (6)","RB","67","57","72","90"
"Derrick Henry TEN (8)","RB","67","76","79","64"
"Allen Hurns DAL (8)","WR","69","74","86","67"
"Robert Woods LAR (12)","WR","70","81","64","84"
"Keelan Cole JAC (9)","WR","71","105","71","54"
"Greg Olsen CAR (4)","TE","72","50","108","76"
"Sony Michel NE (11)","RB","73","69","49","120"
"Kenny Stills MIA (11)","WR","74","71","105","69"
"Kelvin Benjamin BUF (11)","WR","75","56","81","109"
"Russell Wilson SEA (7)","QB","76","102","75","70"
"Isaiah Crowell NYJ (11)","RB","77","87","68","96"
"Jamison Crowder WAS (4)","WR","78","60","85","108"
"Duke Johnson CLE (11)","RB","79","62","104","92"
"Kerryon Johnson DET (6)","RB","80","112","37","111"
"Devin Funchess CAR (4)","WR","81","95","93","77"
"Cam Newton CAR (4)","QB","82","113","87","71"
"Alshon Jeffery PHI (9)","WR","82","75","91","105"
"Evan Engram NYG (9)","TE","84","89","103","87"
"Trey Burton CHI (5)","TE","85","96","74","113"
"Donte Moncrief JAC (9)","WR","86","92","119","73"
"Deshaun Watson HOU (10)","QB","87","126","90","78"
"Carlos Hyde CLE (11)","RB","88","118","63","114"
"Rashaad Penny SEA (7)","RB","89","138","80","79"
"Will Fuller HOU (10)","WR","89","97","134","66"
"Tom Brady NE (11)","QB","91","143","98","63"
"Matthew Stafford DET (6)","QB","92","124","95","86"
"Jordy Nelson OAK (7)","WR","92","67","123","115"
"Chris Thompson WAS (4)","RB","94","131","65","112"
"Drew Brees NO (6)","QB","95","145","102","62"
"Bilal Powell NYJ (11)","RB","96","78","115","117"
