"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Todd Gurley LAR (12)","RB","1","1","2","1"
"LeVeon Bell PIT (7)","RB","2","4","1","2"
"David Johnson ARI (9)","RB","3","3","4","4"
"Ezekiel Elliott DAL (8)","RB","4","6","3","3"
"Antonio Brown PIT (7)","WR","5","5","7","5"
"Leonard Fournette JAC (9)","RB","6","8","5","6"
"Alvin Kamara NO (6)","RB","7","2","9","9"
"Melvin Gordon LAC (8)","RB","8","10","6","7"
"Saquon Barkley NYG (9)","RB","9","11","8","8"
"DeAndre Hopkins HOU (10)","WR","10","7","15","12"
"Kareem Hunt KC (12)","RB","11","14","11","10"
"Dalvin Cook MIN (10)","RB","12","13","12","11"
"Julio Jones ATL (8)","WR","13","12","10","17"
"Odell Beckham Jr NYG (9)","WR","14","9","17","14"
"Jerick McKinnon SF (11)","RB","15","15","13","15"
"Devonta Freeman ATL (8)","RB","16","19","14","13"
"Christian McCaffrey CAR (4)","RB","17","17","19","19"
"Joe Mixon CIN (9)","RB","18","22","16","21"
"Jordan Howard CHI (5)","RB","19","31","18","16"
"Davante Adams GB (7)","WR","19","18","23","24"
"Michael Thomas NO (6)","WR","21","24","22","22"
"A.J. Green CIN (9)","WR","22","20","21","28"
"Rob Gronkowski NE (11)","TE","23","23","31","18"
"LeSean McCoy BUF (11)","RB","24","16","20","39"
"Keenan Allen LAC (8)","WR","25","21","24","32"
"Alex Collins BAL (10)","RB","26","32","27","25"
"Derrius Guice WAS (4)","RB","27","40","25","20"
"Adam Thielen MIN (10)","WR","28","26","26","38"
"T.Y. Hilton IND (9)","WR","29","27","41","30"
"Marvin Jones DET (6)","WR","30","25","35","43"
"Mike Evans TB (5)","WR","31","30","39","36"
"Doug Baldwin SEA (7)","WR","32","35","34","40"
"Amari Cooper OAK (7)","WR","33","44","36","31"
"Sony Michel NE (11)","RB","34","47","33","35"
"Jay Ajayi PHI (9)","RB","35","61","32","23"
"Rashaad Penny SEA (7)","RB","36","64","30","26"
"Stefon Diggs MIN (10)","WR","37","45","43","34"
"Royce Freeman DEN (10)","RB","38","62","29","33"
"Larry Fitzgerald ARI (9)","WR","39","37","47","42"
"Allen Robinson CHI (5)","WR","40","29","59","41"
"Derrick Henry TEN (8)","RB","41","55","48","27"
"JuJu Smith-Schuster PIT (7)","WR","42","34","38","60"
"Alshon Jeffery PHI (9)","WR","43","38","58","44"
"Demaryius Thomas DEN (10)","WR","43","36","51","53"
"Josh Gordon CLE (11)","WR","45","28","65","48"
"Marshawn Lynch OAK (7)","RB","46","63","52","29"
"Dion Lewis TEN (8)","RB","47","50","37","58"
"Tyreek Hill KC (12)","WR","47","43","55","47"
"Aaron Rodgers GB (7)","QB","49","57","49","45"
"Tevin Coleman ATL (8)","RB","50","48","44","61"
"Sammy Watkins KC (12)","WR","51","53","54","54"
"Golden Tate DET (6)","WR","52","41","62","59"
"Brandin Cooks LAR (12)","WR","53","39","76","49"
"Isaiah Crowell NYJ (11)","RB","54","68","53","51"
